"","Session","Period","subject.id","Player","District","Map","Effort","District.compare","Advantage","Adv.District.Names","Disadv.District.Names","Renamed.Map","Compare"
"42",1,20,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"43",1,20,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"44",1,20,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"45",1,20,5,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"46",1,20,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"47",1,20,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"48",1,20,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"49",1,21,1,"A","EDG","5",5,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"50",1,21,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"51",1,21,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"52",1,21,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"53",1,21,5,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"54",1,21,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"55",1,21,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"56",1,21,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"57",1,22,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"58",1,22,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"59",1,22,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"60",1,22,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"61",1,22,5,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"62",1,22,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"63",1,22,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"64",1,22,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"65",1,23,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"66",1,23,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"67",1,23,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"68",1,23,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"69",1,23,5,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"70",1,23,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"71",1,23,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"72",1,23,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"73",1,24,1,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"74",1,24,2,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"75",1,24,3,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"76",1,24,4,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"77",1,24,5,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"78",1,24,6,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"79",1,24,7,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"80",1,24,8,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"81",2,15,9,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"82",2,15,10,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"83",2,15,11,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"84",2,15,12,"A","EDG","5",20,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"85",2,15,13,"B","EDG","5",10,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"86",2,15,14,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"87",2,15,15,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"88",2,15,16,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"89",2,16,9,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"90",2,16,10,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"91",2,16,11,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"92",2,16,12,"A","EDG","5",1,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"93",2,16,13,"B","EDG","5",30,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"94",2,16,14,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"95",2,16,15,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"96",2,16,16,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"97",2,17,9,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"98",2,17,10,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"99",2,17,11,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
