"Period","Stage","Subject","Map_Choice","District","Map","Effort"
15,"1","1","-99","EDG",5,0
15,"1","2","-99","EDG",5,10
15,"1","3","-99","EDG",5,0
15,"1","4","-99","EDG",5,0
15,"1","5","-99","EDG",5,0
15,"1","6","-99","EDG",5,0
15,"1","7","-99","EDG",5,0
15,"1","8","-99","EDG",5,1
16,"1","1","-99","EDG",5,0
16,"1","2","-99","EDG",5,1
16,"1","3","-99","EDG",5,0
16,"1","4","-99","EDG",5,0
16,"1","5","-99","EDG",5,0
16,"1","6","-99","EDG",5,0
16,"1","7","-99","EDG",5,0
16,"1","8","-99","EDG",5,1
17,"1","1","-99","EDG",5,5
17,"1","2","-99","EDG",5,0
17,"1","3","-99","EDG",5,0
17,"1","4","-99","EDG",5,0
17,"1","5","-99","EDG",5,0
17,"1","6","-99","EDG",5,0
17,"1","7","-99","EDG",5,0
17,"1","8","-99","EDG",5,1
18,"1","1","-99","EDG",5,0
18,"1","2","-99","EDG",5,0
18,"1","3","-99","EDG",5,0
18,"1","4","-99","EDG",5,0
18,"1","5","-99","EDG",5,0
18,"1","6","-99","EDG",5,0
18,"1","7","-99","EDG",5,0
18,"1","8","-99","EDG",5,0
19,"1","1","-99","EDG",5,0
19,"1","2","-99","EDG",5,0
19,"1","3","-99","EDG",5,0
19,"1","4","-99","EDG",5,0
19,"1","5","-99","EDG",5,0
19,"1","6","-99","EDG",5,0
19,"1","7","-99","EDG",5,0
19,"1","8","-99","EDG",5,0
20,"2","1","-99","EDG",5,0
20,"2","2","-99","EDG",5,0
20,"2","3","-99","EDG",5,0
20,"2","4","-99","EDG",5,0
20,"2","5","-99","EDG",5,0
20,"2","6","-99","EDG",5,0
20,"2","7","-99","EDG",5,0
20,"2","8","-99","EDG",5,0
21,"2","1","-99","EDG",5,0
21,"2","2","-99","EDG",5,0
21,"2","3","-99","EDG",5,0
21,"2","4","-99","EDG",5,0
21,"2","5","-99","EDG",5,0
21,"2","6","-99","EDG",5,0
21,"2","7","-99","EDG",5,0
21,"2","8","-99","EDG",5,0
22,"2","1","-99","EDG",5,0
22,"2","2","-99","EDG",5,0
22,"2","3","-99","EDG",5,0
22,"2","4","-99","EDG",5,0
22,"2","5","-99","EDG",5,0
22,"2","6","-99","EDG",5,0
22,"2","7","-99","EDG",5,0
22,"2","8","-99","EDG",5,0
23,"2","1","-99","EDG",5,0
23,"2","2","-99","EDG",5,0
23,"2","3","-99","EDG",5,0
23,"2","4","-99","EDG",5,0
23,"2","5","-99","EDG",5,0
23,"2","6","-99","EDG",5,0
23,"2","7","-99","EDG",5,0
23,"2","8","-99","EDG",5,0
24,"2","1","-99","EDG",5,0
24,"2","2","-99","EDG",5,0
24,"2","3","-99","EDG",5,0
24,"2","4","-99","EDG",5,0
24,"2","5","-99","EDG",5,0
24,"2","6","-99","EDG",5,0
24,"2","7","-99","EDG",5,0
24,"2","8","-99","EDG",5,0
25,"3","1","5","EDG",5,0
25,"3","2","2","EDG",5,0
25,"3","3","4","EDG",5,0
25,"3","4","5","EDG",5,0
25,"3","5","1","EDG",5,0
25,"3","6","1","EDG",5,0
25,"3","7","1","EDG",5,0
25,"3","8","1","EDG",5,0
26,"3","1","5","EDG",5,0
26,"3","2","3","EDG",5,0
26,"3","3","4","EDG",5,0
26,"3","4","5","EDG",5,0
26,"3","5","1","EDG",5,0
26,"3","6","1","EDG",5,0
26,"3","7","1","EDG",5,0
26,"3","8","1","EDG",5,0
27,"3","1","5","EDG",5,0
27,"3","2","2","EDG",5,0
27,"3","3","4","EDG",5,0
27,"3","4","5","EDG",5,0
27,"3","5","1","EDG",5,0
27,"3","6","1","EDG",5,0
27,"3","7","1","EDG",5,0
27,"3","8","1","EDG",5,0
28,"3","1","5","EDG",5,0
28,"3","2","4","EDG",5,0
28,"3","3","1","EDG",5,0
28,"3","4","5","EDG",5,0
28,"3","5","2","EDG",5,0
28,"3","6","3","EDG",5,0
28,"3","7","4","EDG",5,0
28,"3","8","1","EDG",5,0
15,"1","1","-99","ELG",5,0
15,"1","2","-99","ELG",5,15
15,"1","3","-99","ELG",5,0
15,"1","4","-99","ELG",5,0
15,"1","5","-99","ELG",5,0
15,"1","6","-99","ELG",5,0
15,"1","7","-99","ELG",5,0
15,"1","8","-99","ELG",5,1
16,"1","1","-99","ELG",5,0
16,"1","2","-99","ELG",5,50
16,"1","3","-99","ELG",5,0
16,"1","4","-99","ELG",5,0
16,"1","5","-99","ELG",5,0
16,"1","6","-99","ELG",5,0
16,"1","7","-99","ELG",5,0
16,"1","8","-99","ELG",5,1
17,"1","1","-99","ELG",5,0
17,"1","2","-99","ELG",5,0
17,"1","3","-99","ELG",5,0
17,"1","4","-99","ELG",5,0
17,"1","5","-99","ELG",5,0
17,"1","6","-99","ELG",5,0
17,"1","7","-99","ELG",5,0
17,"1","8","-99","ELG",5,1
18,"1","1","-99","ELG",5,0
18,"1","2","-99","ELG",5,0
18,"1","3","-99","ELG",5,0
18,"1","4","-99","ELG",5,0
18,"1","5","-99","ELG",5,0
18,"1","6","-99","ELG",5,0
18,"1","7","-99","ELG",5,0
18,"1","8","-99","ELG",5,0
19,"1","1","-99","ELG",5,0
19,"1","2","-99","ELG",5,0
19,"1","3","-99","ELG",5,0
19,"1","4","-99","ELG",5,0
19,"1","5","-99","ELG",5,0
19,"1","6","-99","ELG",5,0
19,"1","7","-99","ELG",5,0
19,"1","8","-99","ELG",5,0
20,"2","1","-99","ELG",5,0
20,"2","2","-99","ELG",5,0
20,"2","3","-99","ELG",5,0
20,"2","4","-99","ELG",5,0
20,"2","5","-99","ELG",5,0
20,"2","6","-99","ELG",5,0
20,"2","7","-99","ELG",5,0
20,"2","8","-99","ELG",5,0
21,"2","1","-99","ELG",5,0
21,"2","2","-99","ELG",5,0
21,"2","3","-99","ELG",5,0
21,"2","4","-99","ELG",5,0
21,"2","5","-99","ELG",5,0
