"Period","Stage","Subject","Map_Choice","District","Map","Effort"
20,"1","4","-99","ELG",5,40
20,"1","5","-99","ELG",5,10
20,"1","6","-99","ELG",5,0
20,"1","7","-99","ELG",5,0
20,"1","8","-99","ELG",5,0
21,"1","1","-99","ELG",5,0
21,"1","2","-99","ELG",5,0
21,"1","3","-99","ELG",5,0
21,"1","4","-99","ELG",5,20
21,"1","5","-99","ELG",5,30
21,"1","6","-99","ELG",5,0
21,"1","7","-99","ELG",5,0
21,"1","8","-99","ELG",5,0
22,"1","1","-99","ELG",5,0
22,"1","2","-99","ELG",5,0
22,"1","3","-99","ELG",5,0
22,"1","4","-99","ELG",5,20
22,"1","5","-99","ELG",5,10
22,"1","6","-99","ELG",5,0
22,"1","7","-99","ELG",5,0
22,"1","8","-99","ELG",5,0
23,"1","1","-99","ELG",5,0
23,"1","2","-99","ELG",5,0
23,"1","3","-99","ELG",5,0
23,"1","4","-99","ELG",5,10
23,"1","5","-99","ELG",5,30
23,"1","6","-99","ELG",5,0
23,"1","7","-99","ELG",5,0
23,"1","8","-99","ELG",5,0
24,"1","1","-99","ELG",5,0
24,"1","2","-99","ELG",5,0
24,"1","3","-99","ELG",5,0
24,"1","4","-99","ELG",5,20
24,"1","5","-99","ELG",5,20
24,"1","6","-99","ELG",5,0
24,"1","7","-99","ELG",5,0
24,"1","8","-99","ELG",5,0
25,"2","1","5","ELG",5,0
25,"2","2","1","ELG",5,0
25,"2","3","5","ELG",5,0
25,"2","4","2","ELG",5,20
25,"2","5","3","ELG",5,30
25,"2","6","1","ELG",5,0
25,"2","7","1","ELG",5,0
25,"2","8","1","ELG",5,0
26,"2","1","5","ELG",5,0
26,"2","2","1","ELG",5,0
26,"2","3","5","ELG",5,0
26,"2","4","1","ELG",5,80
26,"2","5","4","ELG",5,20
26,"2","6","1","ELG",5,0
26,"2","7","1","ELG",5,0
26,"2","8","3","ELG",5,0
27,"2","1","5","ELG",5,0
27,"2","2","3","ELG",5,0
27,"2","3","5","ELG",5,0
27,"2","4","1","ELG",5,20
27,"2","5","2","ELG",5,10
27,"2","6","1","ELG",5,0
27,"2","7","1","ELG",5,0
27,"2","8","4","ELG",5,0
28,"3","1","5","ELG",5,0
28,"3","2","3","ELG",5,0
28,"3","3","2","ELG",5,0
28,"3","4","3","ELG",5,10
28,"3","5","4","ELG",5,30
28,"3","6","3","ELG",5,0
28,"3","7","1","ELG",5,0
28,"3","8","4","ELG",5,0
15,"1","1","-99","EW",5,50
15,"1","2","-99","EW",5,60
15,"1","3","-99","EW",5,40
15,"1","4","-99","EW",5,40
15,"1","5","-99","EW",5,30
15,"1","6","-99","EW",5,0
15,"1","7","-99","EW",5,40
15,"1","8","-99","EW",5,20
16,"1","1","-99","EW",5,50
16,"1","2","-99","EW",5,60
16,"1","3","-99","EW",5,51
16,"1","4","-99","EW",5,1
16,"1","5","-99","EW",5,10
16,"1","6","-99","EW",5,0
16,"1","7","-99","EW",5,20
